life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_tier
76.4,14.21,15.28,37892.0,0.9002,Very High
63.9,12.32,12.12,9128.0,0.7049,High
67.3,8.49,12.22,5286.0,0.6529,Medium
42.1,4.5,6.25,1829.0,0.3552,Low
65.5,9.71,8.95,6488.0,0.6261,Medium
50.2,7.65,8.66,1123.0,0.4254,Low
64.2,8.61,17.44,8967.0,0.7066,High
52.3,6.11,10.8,3744.0,0.5255,Low
62.7,7.52,13.29,17226.0,0.6746,Medium
72.4,13.98,13.86,29098.0,0.8373,Very High
36.2,1.51,7.07,473.0,0.2507,Low
58.6,10.0,10.33,2390.0,0.5733,Medium
52.0,7.36,11.52,3486.0,0.5141,Low
63.4,8.43,12.6,3447.0,0.6038,Medium
69.0,8.35,12.95,9344.0,0.6832,Medium
63.4,10.03,12.73,7675.0,0.6618,Medium
80.2,11.52,16.2,35238.0,0.8775,Very High
84.1,13.33,16.52,28860.0,0.8941,Very High
48.1,7.62,10.16,2232.0,0.4733,Low
42.5,5.87,4.63,1125.0,0.3455,Low
30.4,4.2,2.93,248.0,0.159,Low
74.3,14.15,18.0,57171.0,0.9151,Very High
40.9,2.93,5.71,888.0,0.301,Low
47.2,7.95,8.11,2340.0,0.4619,Low
57.4,9.17,11.68,6432.0,0.5946,Medium
38.3,5.4,8.31,1463.0,0.3679,Low
56.4,7.81,7.55,2116.0,0.5024,Low
72.8,15.0,17.69,58311.0,0.9113,Very High
25.5,0.0,1.03,106.0,0.0442,Low
41.9,6.16,7.78,1443.0,0.3899,Low
45.7,7.95,7.67,1851.0,0.4397,Low
71.1,10.23,13.73,4547.0,0.6959,Medium
34.4,3.36,1.04,609.0,0.1938,Low
53.8,7.11,7.64,2778.0,0.4861,Low
42.9,5.46,7.89,948.0,0.3695,Low
62.1,10.6,15.82,5116.0,0.6654,Medium
53.7,6.52,8.85,2676.0,0.4888,Low
43.1,9.23,4.23,543.0,0.344,Low
67.5,10.72,13.92,22591.0,0.7668,High
77.4,14.19,12.94,12364.0,0.8117,Very High
60.2,10.93,14.39,9631.0,0.6887,Medium
76.7,13.93,16.61,57164.0,0.9167,Very High
44.4,7.96,8.8,1647.0,0.4413,Low
68.1,7.74,11.89,9345.0,0.689,Medium
40.5,6.44,9.02,1207.0,0.3836,Low
71.0,9.88,10.23,10387.0,0.7093,High
58.1,8.19,10.66,3230.0,0.5551,Medium
66.0,10.29,14.19,10175.0,0.7075,High
42.3,2.68,4.46,440.0,0.2459,Low
67.7,9.26,14.74,12000.0,0.7156,High
85.0,14.3,17.08,75000.0,0.9805,Very High
22.7,0.68,2.82,100.0,0.0105,Low
28.6,1.4,3.33,335.0,0.1598,Low
80.9,13.76,15.85,17012.0,0.8625,Very High
48.7,7.13,9.33,1207.0,0.432,Low
58.0,7.27,6.77,2050.0,0.4858,Low
23.2,7.12,1.69,208.0,0.1179,Low
52.8,9.5,7.08,4669.0,0.5377,Low
66.5,14.04,13.44,11970.0,0.754,High
79.9,12.2,16.14,26478.0,0.8704,Very High
85.0,14.95,18.0,75000.0,1.0,Very High
33.1,0.55,3.53,288.0,0.1527,Low
55.1,6.61,7.4,2355.0,0.4728,Low
61.6,8.3,11.25,4505.0,0.6001,Medium
53.0,14.09,8.14,5210.0,0.5961,Medium
73.3,9.94,12.44,10555.0,0.7158,High
47.7,6.82,4.37,3184.0,0.4223,Low
47.4,3.86,7.84,1753.0,0.4025,Low
48.3,7.17,7.14,2614.0,0.4747,Low
33.5,1.73,3.45,303.0,0.1695,Low
38.9,6.75,4.77,1318.0,0.351,Low
50.3,6.1,9.33,5367.0,0.508,Low
73.7,13.13,17.23,41519.0,0.8949,Very High
79.1,10.1,12.86,21672.0,0.7941,High
70.3,12.2,16.43,20933.0,0.8246,Very High
42.1,5.49,5.64,1646.0,0.3798,Low
54.7,6.71,6.11,3905.0,0.5023,Low
71.3,12.04,17.55,22757.0,0.8459,Very High
79.4,15.0,18.0,65475.0,0.9656,Very High
67.7,14.18,12.14,18870.0,0.7834,High
38.6,4.54,3.85,522.0,0.2599,Low
51.2,6.87,9.34,2214.0,0.4563,Low
54.4,7.91,7.92,1987.0,0.4898,Low
69.7,10.56,12.17,10541.0,0.7168,High
69.9,14.02,16.03,23105.0,0.8416,Very High
56.6,8.67,13.62,3745.0,0.5986,Medium
77.0,11.44,15.93,44002.0,0.8616,Very High
76.8,14.64,17.43,28080.0,0.921,Very High
81.0,14.86,16.73,47190.0,0.9467,Very High
37.9,6.55,2.15,512.0,0.2537,Low
69.4,9.79,12.63,16484.0,0.7236,High
35.9,3.4,3.27,510.0,0.2091,Low
47.9,3.83,9.37,1610.0,0.4198,Low
79.9,13.38,18.0,30098.0,0.904,Very High
44.7,5.29,6.31,761.0,0.3364,Low
39.0,3.08,7.03,764.0,0.2927,Low
65.3,12.51,14.14,18614.0,0.761,High
47.7,7.39,10.58,1825.0,0.4717,Low
40.5,4.25,6.09,680.0,0.2887,Low
46.2,8.22,9.33,1173.0,0.42,Low
77.0,12.48,17.55,19161.0,0.8616,Very High
28.4,2.89,4.52,896.0,0.2063,Low
85.0,11.2,14.74,18689.0,0.8579,Very High
76.4,13.89,14.97,23100.0,0.8509,Very High
54.3,7.2,10.85,4046.0,0.558,Medium
42.4,7.22,8.55,1013.0,0.3883,Low
34.1,2.22,5.31,562.0,0.2449,Low
82.7,15.0,16.95,71913.0,0.9816,Very High
40.5,1.43,5.99,1144.0,0.2976,Low
35.3,4.54,3.84,449.0,0.2325,Low
66.1,8.84,10.43,7676.0,0.6593,Medium
80.7,14.73,18.0,28165.0,0.926,Very High
77.2,12.38,15.08,28406.0,0.8452,Very High
41.6,2.82,6.01,773.0,0.2783,Low
51.2,6.7,9.1,5127.0,0.5156,Low
30.5,2.22,0.11,167.0,0.1142,Low
31.6,4.72,2.36,368.0,0.1896,Low
55.7,9.86,11.14,7148.0,0.5995,Medium
60.2,7.77,7.49,5841.0,0.559,Medium
25.7,4.29,5.14,153.0,0.1287,Low
56.5,9.68,10.36,3752.0,0.5544,Medium
41.0,3.8,4.88,675.0,0.2837,Low
37.7,4.54,6.88,671.0,0.2894,Low
53.6,8.8,9.84,3644.0,0.5475,Low
51.1,7.39,10.35,4410.0,0.5251,Low
82.5,13.78,16.04,50736.0,0.932,Very High
51.1,9.59,9.82,4438.0,0.5438,Low
38.4,7.39,7.5,915.0,0.358,Low
72.7,8.62,12.46,14997.0,0.7411,High
55.7,10.1,10.85,5112.0,0.6029,Medium
66.6,11.23,9.09,9164.0,0.6803,Medium
44.2,6.78,9.99,1406.0,0.4356,Low
65.2,13.4,12.64,13077.0,0.7327,High
29.4,0.0,2.58,313.0,0.125,Low
72.4,11.44,12.09,11343.0,0.7683,High
54.7,9.42,7.24,2055.0,0.4826,Low
28.7,2.2,1.98,298.0,0.1359,Low
58.9,6.23,10.92,4043.0,0.5445,Low
27.7,4.95,4.01,175.0,0.1434,Low
52.6,4.9,7.45,3959.0,0.4836,Low
60.6,10.55,12.88,7364.0,0.6657,Medium
81.8,13.92,15.87,15710.0,0.867,Very High
61.9,11.32,12.18,7485.0,0.6756,Medium
46.9,6.75,4.76,1513.0,0.3898,Low
48.1,6.73,8.48,2566.0,0.4623,Low
32.8,2.96,3.38,208.0,0.1673,Low
53.7,6.43,8.89,2628.0,0.508,Low
64.5,8.23,9.86,3741.0,0.5943,Medium
79.9,13.2,16.62,30268.0,0.897,Very High
53.5,6.05,12.31,6714.0,0.5827,Medium
53.2,5.85,4.59,1899.0,0.399,Low
65.6,6.29,11.48,7697.0,0.6233,Medium
49.6,7.88,13.74,2963.0,0.5241,Low
69.4,11.89,13.97,16139.0,0.7683,High
53.5,5.96,6.3,1286.0,0.4265,Low
58.2,6.41,9.05,2560.0,0.5212,Low
53.1,6.56,7.25,1055.0,0.4186,Low
61.2,9.57,11.01,5226.0,0.6251,Medium
57.3,8.33,9.93,6212.0,0.5742,Medium
61.5,8.68,11.28,13994.0,0.6468,Medium
40.1,2.85,6.57,333.0,0.2505,Low
60.8,7.99,9.27,2768.0,0.5464,Low
59.0,8.6,9.1,3401.0,0.5717,Medium
81.1,12.58,14.67,71629.0,0.9383,Very High
71.7,12.11,12.64,20339.0,0.7777,High
49.2,8.41,6.2,2279.0,0.4397,Low
78.7,14.53,16.13,29060.0,0.8832,Very High
51.5,9.89,9.54,7405.0,0.5637,Medium
75.8,13.94,15.18,14995.0,0.8341,Very High
77.8,12.51,13.65,25651.0,0.8377,Very High
74.0,12.76,18.0,69005.0,0.8998,Very High
62.7,7.78,11.73,3047.0,0.6012,Medium
78.3,13.72,17.31,34198.0,0.9116,Very High
41.4,2.96,7.76,821.0,0.3379,Low
75.3,11.83,18.0,18918.0,0.8265,Very High
56.5,10.73,10.51,5660.0,0.6185,Medium
62.2,11.51,13.23,5748.0,0.667,Medium
48.5,4.19,8.53,1203.0,0.392,Low
78.7,13.62,18.0,50960.0,0.9328,Very High
61.7,10.77,13.25,13875.0,0.696,Medium
64.2,9.84,13.86,8369.0,0.6856,Medium
59.7,8.4,7.5,1887.0,0.5191,Low
28.1,1.44,0.0,382.0,0.087,Low
72.8,14.48,13.84,20554.0,0.8424,Very High
49.1,6.1,4.94,1192.0,0.3889,Low
72.4,15.0,15.61,39301.0,0.8778,Very High
76.6,12.34,13.49,21485.0,0.8313,Very High
66.2,9.81,10.73,20377.0,0.7127,High
45.8,2.64,3.73,742.0,0.2795,Low
36.9,2.76,1.17,441.0,0.1859,Low
62.9,10.42,10.7,5410.0,0.6506,Medium
63.0,10.76,11.24,9312.0,0.6575,Medium
25.3,3.2,3.42,218.0,0.1223,Low
54.3,7.73,10.77,4114.0,0.5344,Low
30.5,1.7,6.45,266.0,0.1831,Low
49.5,8.86,8.57,1047.0,0.4401,Low
61.3,8.07,12.51,4798.0,0.5995,Medium
30.1,4.65,3.68,566.0,0.2099,Low
44.8,5.06,6.31,1017.0,0.3587,Low
41.5,5.7,7.76,2180.0,0.3997,Low
56.9,7.93,11.83,5998.0,0.5733,Medium
43.9,6.79,12.85,2605.0,0.4657,Low
41.3,4.43,4.43,470.0,0.2764,Low
56.6,7.17,7.85,8089.0,0.5669,Medium
66.9,12.27,13.18,8892.0,0.7323,High
42.4,4.96,7.9,1331.0,0.3684,Low
62.0,9.8,10.78,5096.0,0.6316,Medium
59.0,10.06,7.57,4117.0,0.5656,Medium
57.7,10.75,12.3,4079.0,0.5792,Medium
58.4,7.96,10.75,3075.0,0.5709,Medium
29.5,2.04,1.7,349.0,0.1518,Low
75.9,9.23,15.74,11446.0,0.7729,High
49.7,8.51,6.38,3272.0,0.4807,Low
47.5,8.12,7.9,2252.0,0.4634,Low
82.3,14.53,16.07,41245.0,0.9328,Very High
75.6,15.0,18.0,26136.0,0.893,Very High
27.9,2.98,3.07,105.0,0.0475,Low
77.8,13.03,15.05,40107.0,0.8829,Very High
77.3,12.49,16.22,22561.0,0.8463,Very High
52.8,5.45,4.74,2341.0,0.411,Low
68.0,7.63,11.51,5979.0,0.6424,Medium
35.5,1.26,1.43,388.0,0.1683,Low
41.6,5.27,5.46,1482.0,0.3458,Low
45.7,5.33,6.08,848.0,0.3476,Low
62.1,11.43,13.19,6426.0,0.6559,Medium
57.3,7.22,12.81,1544.0,0.5078,Low
57.4,8.2,8.44,7018.0,0.5597,Medium
59.9,13.2,13.84,10431.0,0.7179,High
71.8,7.21,17.91,23670.0,0.7688,High
25.6,0.58,0.0,101.0,0.0185,Low
61.8,9.71,10.11,5410.0,0.6138,Medium
72.8,11.56,14.31,13048.0,0.7826,High
78.6,13.79,17.14,31916.0,0.9142,Very High
63.4,11.54,14.83,30364.0,0.771,High
46.5,6.6,6.37,388.0,0.3325,Low
56.0,6.19,7.06,2247.0,0.4869,Low
81.3,11.8,18.0,72379.0,0.9562,Very High
20.2,1.2,0.12,146.0,0.0143,Low
67.6,9.76,10.11,17643.0,0.6832,Medium
65.8,8.95,9.44,12716.0,0.6598,Medium
71.7,12.01,11.29,8441.0,0.7263,High
39.0,8.52,10.11,1221.0,0.3771,Low
48.0,7.84,5.22,2076.0,0.4319,Low
57.2,10.88,14.07,7671.0,0.6304,Medium
75.4,12.4,17.13,22435.0,0.868,Very High
26.0,2.36,1.41,179.0,0.1034,Low
59.3,9.81,6.54,8398.0,0.5822,Medium
73.3,14.64,11.93,17266.0,0.8067,Very High
28.3,0.0,0.0,163.0,0.0046,Low
63.1,11.11,15.23,10352.0,0.7219,High
20.0,0.0,0.17,132.0,0.0013,Low
27.2,1.37,0.0,177.0,0.0854,Low
45.6,2.57,6.52,676.0,0.2993,Low
43.4,3.06,3.31,821.0,0.2797,Low
44.0,4.26,7.38,2008.0,0.4054,Low
78.6,13.0,13.71,18153.0,0.8291,Very High
85.0,14.71,18.0,70876.0,0.9964,Very High
76.4,15.0,14.11,35144.0,0.8718,Very High
40.0,4.39,8.9,1171.0,0.3772,Low
62.5,11.95,10.9,14501.0,0.7039,High
65.9,11.49,13.97,13520.0,0.7262,High
75.4,14.8,17.42,47159.0,0.929,Very High
48.6,6.7,8.03,1918.0,0.4335,Low
53.5,9.7,9.81,7098.0,0.5896,Medium
55.4,6.25,10.95,3263.0,0.5381,Low
52.6,4.69,10.78,3808.0,0.5213,Low
44.8,6.49,6.73,1244.0,0.3905,Low
53.2,5.83,9.04,4634.0,0.5095,Low
31.3,4.41,2.63,197.0,0.1376,Low
35.4,4.23,5.74,813.0,0.2776,Low
54.1,6.17,8.92,2128.0,0.4719,Low
55.2,12.43,10.19,2967.0,0.5765,Medium
66.4,10.51,10.11,13861.0,0.6896,Medium
67.6,12.2,13.17,25332.0,0.7873,High
43.0,5.83,7.15,617.0,0.3315,Low
40.5,6.22,1.95,861.0,0.3038,Low
58.5,10.39,12.57,4224.0,0.6139,Medium
55.8,7.98,10.97,8327.0,0.5879,Medium
29.5,4.15,7.03,259.0,0.1845,Low
58.7,8.86,13.36,4128.0,0.6088,Medium
83.7,12.05,15.52,22625.0,0.888,Very High
59.7,8.75,10.01,3358.0,0.5621,Medium
73.1,9.41,17.42,16367.0,0.7948,High
38.6,6.53,8.46,673.0,0.3389,Low
39.8,5.15,8.45,1534.0,0.3705,Low
43.8,4.52,8.35,1924.0,0.3795,Low
45.2,4.95,4.23,1300.0,0.3534,Low
54.2,7.45,9.62,2460.0,0.4932,Low
60.0,9.37,7.8,3161.0,0.539,Low
38.4,3.23,3.85,841.0,0.2564,Low
76.9,12.39,15.85,24698.0,0.8519,Very High
20.0,0.9,0.73,273.0,0.0,Low
76.9,11.35,15.23,61124.0,0.8651,Very High
72.2,10.92,11.92,6674.0,0.7113,High
67.4,10.81,12.01,31502.0,0.76,High
38.5,1.38,7.24,379.0,0.2495,Low
77.9,12.83,14.73,18516.0,0.8305,Very High
58.0,11.72,8.68,6985.0,0.6179,Medium
51.1,6.81,8.41,3364.0,0.4971,Low
60.5,7.74,12.22,3605.0,0.5735,Medium
55.5,7.78,11.29,3893.0,0.5505,Medium
85.0,13.72,16.46,75000.0,0.9806,Very High
36.7,7.24,5.69,1601.0,0.3502,Low
43.9,5.1,4.22,1065.0,0.3337,Low
48.7,2.88,6.04,2154.0,0.3777,Low
70.3,14.62,14.2,23296.0,0.8373,Very High
26.2,3.76,0.16,153.0,0.0924,Low
69.4,11.74,12.21,22661.0,0.7695,High
65.0,6.53,13.42,7700.0,0.6448,Medium
75.4,11.76,13.37,14914.0,0.7733,High
63.1,11.01,11.99,6346.0,0.6679,Medium
67.1,11.39,15.91,9948.0,0.737,High
73.6,12.84,18.0,19591.0,0.8357,Very High
47.2,7.35,7.09,1667.0,0.4109,Low
39.4,3.94,6.06,613.0,0.2749,Low
76.8,14.43,14.85,32618.0,0.8579,Very High
61.6,10.23,11.1,9967.0,0.6507,Medium
70.5,10.64,10.61,8979.0,0.6958,Medium
29.8,2.99,2.14,179.0,0.1387,Low
74.9,11.71,16.72,33851.0,0.8602,Very High
41.5,3.24,3.56,718.0,0.2757,Low
76.0,12.47,14.44,20297.0,0.8396,Very High
73.5,14.93,16.25,68006.0,0.8879,Very High
68.6,12.38,13.63,12685.0,0.7602,High
62.2,9.62,10.35,3163.0,0.5938,Medium
51.7,7.01,9.5,1938.0,0.4853,Low
40.5,4.39,8.99,1150.0,0.3402,Low
40.9,4.48,4.87,1310.0,0.3228,Low
52.6,7.45,6.82,2463.0,0.4644,Low
75.5,10.51,16.02,20414.0,0.804,Very High
48.7,5.44,9.1,1181.0,0.4379,Low
65.7,15.0,10.99,13896.0,0.7445,High
66.7,8.94,14.04,10188.0,0.711,High
34.1,4.05,4.21,435.0,0.2369,Low
69.6,10.32,13.24,9452.0,0.7057,High
65.2,11.37,13.86,16664.0,0.7379,High
49.6,5.89,8.9,1765.0,0.4449,Low
67.5,13.66,16.34,21296.0,0.8172,Very High
62.4,9.82,11.56,13850.0,0.6837,Medium
63.6,7.43,12.92,5908.0,0.6478,Medium
63.9,11.07,14.06,8540.0,0.71,High
72.2,13.65,15.36,22919.0,0.8411,Very High
39.5,3.61,5.34,1141.0,0.3193,Low
64.0,7.63,9.88,2573.0,0.5737,Medium
73.9,9.09,13.37,9816.0,0.7229,High
67.5,7.44,11.82,3803.0,0.5984,Medium
43.4,5.12,2.61,798.0,0.2957,Low
73.3,11.87,14.52,10967.0,0.7611,High
30.3,0.0,0.0,135.0,0.0,Low
61.0,9.71,12.46,8026.0,0.6553,Medium
22.5,1.56,0.0,102.0,0.0118,Low
73.3,10.97,12.92,17411.0,0.7802,High
58.2,7.68,11.52,8143.0,0.6112,Medium
68.0,12.76,10.89,26335.0,0.7715,High
45.2,4.99,8.7,1490.0,0.3888,Low
76.2,14.11,13.72,35037.0,0.858,Very High
60.6,9.61,13.6,8895.0,0.6473,Medium
35.4,2.93,5.11,908.0,0.2723,Low
47.0,6.77,5.51,1454.0,0.4185,Low
44.5,6.69,6.24,11440.0,0.4768,Low
61.6,8.78,8.61,5559.0,0.594,Medium
40.0,3.26,7.29,1214.0,0.325,Low
71.2,11.6,15.06,13382.0,0.7749,High
45.6,5.93,10.53,1294.0,0.4341,Low
37.3,5.93,4.09,868.0,0.3009,Low
55.8,7.63,7.84,1761.0,0.4894,Low
70.8,10.4,13.8,11580.0,0.7555,High
41.1,3.14,5.55,1369.0,0.3323,Low
65.2,9.69,13.33,18371.0,0.7245,High
84.0,14.78,17.25,42238.0,0.9571,Very High
62.2,12.1,14.35,9876.0,0.7084,High
59.4,7.41,6.7,3098.0,0.5196,Low
62.0,10.0,10.51,3507.0,0.5967,Medium
61.9,10.67,10.59,6865.0,0.6479,Medium
82.7,15.0,16.79,54127.0,0.9708,Very High
64.3,11.36,12.85,10711.0,0.6907,Medium
70.3,8.03,15.72,37436.0,0.7687,High
57.8,10.14,9.53,4374.0,0.5846,Medium
64.4,11.24,13.22,7704.0,0.6997,Medium
54.4,6.59,5.84,2585.0,0.466,Low
58.9,8.86,9.99,8925.0,0.6031,Medium
39.8,5.61,7.04,1668.0,0.3763,Low
76.6,11.69,12.49,33674.0,0.8453,Very High
37.8,1.85,6.13,513.0,0.2418,Low
53.4,6.08,9.51,2415.0,0.4794,Low
35.1,2.12,2.79,656.0,0.2141,Low
46.3,9.87,6.76,2116.0,0.4572,Low
71.4,10.57,11.28,5057.0,0.69,Medium
53.5,12.91,9.82,13984.0,0.6495,Medium
71.3,11.85,11.36,14367.0,0.7464,High
31.7,1.64,0.0,169.0,0.0862,Low
25.9,0.0,1.06,100.0,0.0,Low
55.7,7.64,10.87,5772.0,0.5857,Medium
53.7,7.53,7.62,3957.0,0.5168,Low
81.5,13.05,17.61,28009.0,0.9054,Very High
52.6,4.65,5.82,947.0,0.3787,Low
28.2,3.3,4.31,357.0,0.1763,Low
68.6,12.78,13.13,13504.0,0.7419,High
51.6,5.58,9.61,3373.0,0.4747,Low
57.0,7.36,8.54,3081.0,0.5202,Low
25.8,2.7,4.7,256.0,0.1385,Low
81.1,12.81,17.44,24344.0,0.8922,Very High
39.0,2.36,4.54,311.0,0.2343,Low
40.2,4.61,2.09,547.0,0.254,Low
84.5,10.08,15.79,43105.0,0.8821,Very High
50.1,5.65,5.34,1116.0,0.3851,Low
55.1,10.26,7.89,2857.0,0.5212,Low
26.5,0.0,2.32,124.0,0.0605,Low
69.4,12.5,13.95,19141.0,0.7786,High
61.7,10.75,12.43,9992.0,0.6819,Medium
69.2,6.87,13.1,6454.0,0.6544,Medium
45.3,7.1,8.46,1892.0,0.432,Low
47.5,7.41,4.88,1229.0,0.4009,Low
29.1,1.72,4.55,377.0,0.1801,Low
63.0,8.73,12.8,5273.0,0.6553,Medium
68.5,11.5,16.03,27005.0,0.8127,Very High
60.7,10.24,10.25,4762.0,0.6091,Medium
72.3,10.61,13.44,8629.0,0.7266,High
56.8,7.12,10.56,2357.0,0.5269,Low
68.0,8.84,12.13,3712.0,0.6485,Medium
78.8,13.66,13.47,44500.0,0.8925,Very High
42.3,7.6,3.97,1503.0,0.3641,Low
31.2,3.5,7.32,361.0,0.2247,Low
73.5,11.54,11.4,14825.0,0.7605,High
68.8,11.06,13.03,16378.0,0.7606,High
73.4,10.88,16.09,20127.0,0.8139,Very High
74.7,11.62,12.56,16515.0,0.7843,High
30.2,2.83,0.0,240.0,0.1133,Low
50.5,10.85,7.83,2930.0,0.5256,Low
50.5,4.89,12.34,1788.0,0.4553,Low
47.5,8.22,12.45,4115.0,0.529,Low
62.0,11.19,10.55,11428.0,0.6701,Medium
81.2,11.14,16.6,26340.0,0.8643,Very High
37.5,3.59,5.71,429.0,0.2601,Low
60.2,8.32,10.51,4183.0,0.5833,Medium
35.9,5.91,0.74,331.0,0.1888,Low
39.8,7.36,10.01,1320.0,0.3942,Low
68.8,9.53,9.82,19384.0,0.7026,High
29.3,0.0,2.68,247.0,0.1261,Low
78.2,15.0,16.19,74416.0,0.9345,Very High
74.1,13.74,17.32,27882.0,0.8922,Very High
69.7,13.02,14.9,10100.0,0.7761,High
50.8,4.34,5.35,809.0,0.3499,Low
62.3,9.67,8.88,4955.0,0.5982,Medium
71.3,8.8,9.09,10821.0,0.6665,Medium
53.2,8.14,9.0,2015.0,0.4975,Low
75.7,13.17,17.15,51974.0,0.8969,Very High
49.7,9.77,7.51,1855.0,0.4749,Low
61.2,10.27,11.08,7134.0,0.6318,Medium
50.5,6.95,12.34,2452.0,0.5144,Low
47.6,6.21,8.89,2184.0,0.4493,Low
72.5,11.57,16.49,20957.0,0.8148,Very High
58.8,8.31,8.01,8238.0,0.5812,Medium
46.9,8.09,7.23,1022.0,0.4021,Low
54.6,12.07,12.06,4720.0,0.6145,Medium
79.5,13.68,14.48,21550.0,0.8484,Very High
53.5,7.73,6.14,1583.0,0.4607,Low
71.1,14.31,13.08,13265.0,0.7888,High
53.7,9.96,7.31,4307.0,0.5357,Low
78.5,11.23,12.59,16431.0,0.8008,Very High
60.9,9.72,10.99,6560.0,0.6342,Medium
52.6,6.8,12.28,2233.0,0.5009,Low
50.3,7.73,6.6,2179.0,0.4702,Low
47.5,9.86,8.79,3671.0,0.4843,Low
80.2,15.0,18.0,75000.0,0.9856,Very High
37.3,4.46,0.92,455.0,0.218,Low
74.3,13.48,15.95,45312.0,0.8928,Very High
63.8,8.09,12.2,5661.0,0.6445,Medium
57.7,10.25,12.48,7357.0,0.6334,Medium
48.1,4.75,5.94,1347.0,0.3765,Low
36.3,6.1,4.46,1315.0,0.3202,Low
55.5,5.83,11.11,2513.0,0.5,Low
42.7,6.46,5.27,1450.0,0.3677,Low
52.9,8.16,5.4,1676.0,0.4454,Low
70.0,12.88,14.81,21423.0,0.7945,High
43.8,4.22,3.14,709.0,0.2865,Low
73.9,14.69,17.87,19855.0,0.8752,Very High
37.2,8.29,6.29,965.0,0.3516,Low
32.5,2.68,5.54,612.0,0.2321,Low
37.1,3.58,4.17,272.0,0.2111,Low
37.6,5.6,3.3,424.0,0.2514,Low
39.6,4.46,6.15,746.0,0.2906,Low
